,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Full_Ensembl,Ensembl,_id,entrezgene,name,notfound,symbol
0,ENSG00000145779.7,628.211988487,2.28460206301,0.236060514154,9.67803561386,3.73829511662e-22,5.14950152315e-18,ENSG00000145779,ENSG00000145779,25816,25816.0,TNF alpha induced protein 8,,TNFAIP8
1,ENSG00000267034.1,14.9837046301,3.51501427916,0.46197776036,7.60862227745,2.77033082764e-14,1.90806535753e-10,ENSG00000267034,ENSG00000267034,ENSG00000267034,,,,RP11-384O8.1
2,ENSG00000117525.9,642.047595971,2.77050477815,0.36913384491,7.50542063904,6.12316580756e-14,2.8115536333e-10,ENSG00000117525,ENSG00000117525,2152,2152.0,"coagulation factor III, tissue factor",,F3
3,ENSG00000081041.8,1701.03834553,2.5742197237,0.34695700022,7.41942004936,1.17634283675e-13,4.05103064405e-10,ENSG00000081041,ENSG00000081041,2920,2920.0,C-X-C motif chemokine ligand 2,,CXCL2
4,ENSG00000234883.2,209.378508181,2.92000801695,0.40013786561,7.29750485497,2.93153155049e-13,8.07636942161e-10,ENSG00000234883,ENSG00000234883,114614,114614.0,MIR155 host gene,,MIR155HG
5,ENSG00000102794.5,316.288078176,3.46583781834,0.477712124355,7.2550761047,4.01436057588e-13,9.21630282213e-10,ENSG00000102794,ENSG00000102794,730249,730249.0,aconitate decarboxylase 1,,ACOD1
6,ENSG00000146457.10,1260.82142669,1.77949503375,0.246554115499,7.21746230092,5.29666722674e-13,1.04230844355e-09,ENSG000001464570,ENSG000001464570,,,,True,
7,ENSG00000232810.3,1984.16107068,2.59173008201,0.37198678458,6.96726386377,3.23164226309e-12,5.56448402176e-09,ENSG00000232810,ENSG00000232810,7124,7124.0,tumor necrosis factor,,TNF
8,ENSG00000136244.7,1001.50065317,3.22175597831,0.479213861034,6.72300248443,1.78017547292e-11,2.72465745994e-08,ENSG00000136244,ENSG00000136244,3569,3569.0,interleukin 6,,IL6
9,ENSG00000163734.4,798.943224974,2.10745979702,0.32301700923,6.5242997638,6.83199521688e-11,9.41107341126e-08,ENSG00000163734,ENSG00000163734,2921,2921.0,C-X-C motif chemokine ligand 3,,CXCL3
10,ENSG00000152503.5,82.6223775354,1.60725338285,0.247709889202,6.48845061465,8.67235734615e-11,1.08601565857e-07,ENSG00000152503,ENSG00000152503,55521,55521.0,tripartite motif containing 36,,TRIM36
11,ENSG00000131979.14,413.622775585,2.09589509187,0.32560805919,6.43686491385,1.21966389022e-10,1.33643989182e-07,ENSG000001319794,ENSG000001319794,,,,True,
12,ENSG00000164181.9,103.044231467,2.5475526373,0.396088778618,6.43177180174,1.26124998865e-10,1.33643989182e-07,ENSG00000164181,ENSG00000164181,79993,79993.0,ELOVL fatty acid elongase 7,,ELOVL7
13,ENSG00000153898.8,48.1429216382,2.49900280593,0.393062762719,6.35777041978,2.04703101144e-10,2.01413229876e-07,ENSG00000153898,ENSG00000153898,255231,255231.0,mucolipin 2,,MCOLN2
14,ENSG00000119986.6,45.8248120719,-2.44270021369,0.388304203077,-6.29068702921,3.16063990481e-10,2.72111341805e-07,ENSG00000119986,ENSG00000119986,60370,60370.0,arginine vasopressin induced 1,,AVPI1
15,ENSG00000253522.2,180.940237755,2.65222284273,0.42108167919,6.29859472356,3.00356157798e-10,2.72111341805e-07,ENSG00000253522,ENSG00000253522,,,,True,
16,ENSG00000197632.4,5841.47898479,2.27789246783,0.362764377817,6.27926171124,3.40184541902e-10,2.75649533218e-07,ENSG00000197632,ENSG00000197632,5055,5055.0,serpin family B member 2,,SERPINB2
17,ENSG00000109819.4,7.94684876467,-2.89798682095,0.468533293099,-6.18523136698,6.20114510505e-10,4.74559854567e-07,ENSG00000109819,ENSG00000109819,10891,10891.0,PPARG coactivator 1 alpha,,PPARGC1A
18,ENSG00000050730.11,148.610496945,2.58350766252,0.422389766752,6.1164068495,9.57087891879e-10,6.93888721612e-07,ENSG000000507301,ENSG000000507301,,,,True,
19,ENSG00000129277.9,3157.21487734,2.48902797099,0.407772756264,6.10395847383,1.0347318036e-09,7.12671529732e-07,ENSG00000129277,ENSG00000129277,,,,True,
20,ENSG00000170542.5,736.812735884,2.10836702899,0.348189583051,6.05522718548,1.40219627189e-09,9.19773983107e-07,ENSG00000170542,ENSG00000170542,5272,5272.0,serpin family B member 9,,SERPINB9
21,ENSG00000164603.7,107.899184736,1.63939097731,0.272336234272,6.01973138718,1.74706748524e-09,1.04634150475e-06,ENSG00000164603,ENSG00000164603,154743,154743.0,base methyltransferase of 25S rRNA 2 homolog,,BMT2
22,ENSG00000233834.2,29.3659241135,2.81619219643,0.467462467763,6.02442418513,1.69712732993e-09,1.04634150475e-06,ENSG00000233834,ENSG00000233834,100506098,100506098.0,uncharacterized LOC100506098,,LOC100506098
23,ENSG00000110944.4,72.6661043369,2.78453563016,0.464770016329,5.99121185173,2.08283102308e-09,1.14763989372e-06,ENSG00000110944,ENSG00000110944,51561,51561.0,interleukin 23 subunit alpha,,IL23A
24,ENSG00000136840.14,38.2717408716,-1.90177373621,0.317424557874,-5.99126214098,2.08218695434e-09,1.14763989372e-06,ENSG000001368404,ENSG000001368404,,,,True,
25,ENSG00000154640.10,162.10847559,1.53089386745,0.255840427139,5.98378405075,2.18012320046e-09,1.15504604178e-06,ENSG000001546400,ENSG000001546400,,,,True,
26,ENSG00000183891.5,55.9600610375,1.42790842846,0.241458339901,5.91368444365,3.345385196e-09,1.70676596574e-06,ENSG00000183891,ENSG00000183891,130502,130502.0,tetratricopeptide repeat domain 32,,TTC32
27,ENSG00000114455.9,2.96911569644,2.98314855287,0.505293640505,5.9037920008,3.55239997532e-09,1.74765391643e-06,ENSG00000114455,ENSG00000114455,11148,11148.0,HERV-H LTR-associating 2,,HHLA2
